Max. Equipment Designation,Absolute ceiling,Best glide ratio,Cruising altitude,Cruising speed,Endurance,Fuel with max payload,Gross wing area,"Ground clearance, fuselage","Height, alternate configuration","Height, fuselage","Height, overall",Landing run,"Length, alternate configuration","Length, fuselage","Length, overall",Loitering speed,Max T-O weight,Max certified altitude,Max fuel weight,Max launch weight,Max level speed,Max operating speed,Max payload,Never-exceed speed,Operating altitude,"Operating weight, empty",Payload with max fuel,Propeller diameter,Radius of operation,Range,Rate of climb,Service ceiling,Stalling speed,T-O run,T-O speed,Tailplane span,Weapons bay volume,Weight empty,"Weight empty, equipped","Width, fuselage","Width, overall",Wing aspect ratio,Wing span,g limits
Horus FT-100,,,,"33 kt (61.1 km/h, 38 mph) (typ) 33 kt (61.1 km/h, 38 mph) (typ)",1 hr (typ) 2 hr (max),,,,,,,,,,1.9 m (6 ft 2 3/4 in) 1.9 m (6 ft 2 3/4 in),,7 kg (15 lb),,,,,,3 kg (6 lb 9 3/4 oz),,,,,,"9.07 km (4.9 nm, 5.64 mi) (typ) 9.07 km (4.9 nm, 5.64 mi) (typ) 15 km (8.1 nm, 9.32 mi) (max) 15 km (8.1 nm, 9.32 mi) (max)","18.5 km (10 nm, 11.5 mi) 18.5 km (10 nm, 11.5 mi)",,,,,,,,,,,,,2.7 m (8 ft 10 1/4 in) 2.7 m (8 ft 10 1/4 in),
IA-17,,,,,"2 hr 30 min (extended electric' configuration) 4 hr (basic' configuration) 20 hr (minimum, 'extended gasoline' configuration)",,,,220 mm (8 3/4 in) (extended gasoline'/'extended electric' configurations) 250 mm (9 3/4 in) (basic' configuration),,,,1.15 m (3 ft 9 1/4 in) (basic' configuration) 1.27 m (4 ft 2 in) (IA-17 Manta 'extended gasoline'/'extended electric' configurations),,,,7.5 kg (17 lb) (basic' configuration) 9.0 kg (20 lb) (extended electric' configuration) 20.0 kg (44 lb) (extended gasoline' configuration),,,,"108 kt (200 km/h, 124 mph) (all configurations) 108 kt (200 km/h, 124 mph) (all configurations)",,1.0 kg (2 lb 3 1/4 oz) (extended electric' configuration) 2.5 kg (5 lb 8 1/4 oz) ('basic' configuration) 7.5 kg (17 lb) (extended gasoline' configuration),,,,,,"10 km (5.4 nm, 6.21 mi) (datalink; basic' configuration) 10 km (5.4 nm, 6.21 mi) (datalink; basic' configuration) 20 km (10.8 nm, 12.4 mi) (datalink; extended gasoline'/'extended electric' configurations) 20 km (10.8 nm, 12.4 mi) (datalink; extended gasoline'/'extended electric' configurations)",,,"4,500 m (14,765 ft) (above sea level, IA-17 Manta 'basic'/'extended electric' configurations) 6,000 m (19,685 ft) (above sea level, IA-17 Manta 'extended gasoline' configuration)",,,,,,"5.0 kg (11 lb) (basic' configuration) 8.0 kg (18 lb) (with battery pack, IA-17 Manta 'extended electric' configuration) 12.5 kg (28 lb) (extended gasoline' configuration)",,,,,1.80 m (5 ft 10 3/4 in) (basic' configuration) 1.80 m (5 ft 10 3/4 in) (basic' configuration) 2.80 m (9 ft 2 1/4 in) (extended gasoline'/'extended electric' configurations) 2.80 m (9 ft 2 1/4 in) (extended gasoline'/'extended electric' configurations),
K1000ULE,,,,"30 kt (55.6 km/h, 34.5 mph) (min) 40 kt (74.1 km/h, 46 mph) (max)",24 hr 0 min,,,,,,,,,,3 m (9 ft 10 in),,19.3 kg (43 lb),,,,,,2.49 kg (5 lb 7 3/4 oz),,,,,,,"1,610 km (869 nm, 1,000 mi) (max, mission dependent) 140 km (75.6 nm, 87 mi) (LOS communication)",,"6,095 m (20,000 ft)",,,,,,,,,,,5 m (16 ft 4 3/4 in),
Kasper,,,,,2 hr 0 min,,,,,,300 mm (11 3/4 in) 300 mm (11 3/4 in),,,,1.0 m (3 ft 3 1/4 in) 1.0 m (3 ft 3 1/4 in),,9.0 kg (20 lb),,,,"64.8 kt (120 km/h, 74.6 mph) 64.8 kt (120 km/h, 74.6 mph)",,1.0 kg (2 lb 3 1/4 oz),,,,,,"25 km (13.5 nm, 15.5 mi) 25 km (13.5 nm, 15.5 mi)",,,"3,000 m (9,845 ft)",,,,,,,,,,,2.2 m (7 ft 2 1/2 in) 2.2 m (7 ft 2 1/2 in),
Leleka-100,,,,"32.4 kt (60 km/h, 37.3 mph) (typical) 32.4 kt (60 km/h, 37.3 mph) (typical) 43.2 kt (80 km/h, 49.7 mph) (maximum) 43.2 kt (80 km/h, 49.7 mph) (maximum) 32.4 kt (60 km/h, 37.3 mph) (typical) 32.4 kt (60 km/h, 37.3 mph) (typical) 43.2 kt (80 km/h, 49.7 mph) (maximum) 43.2 kt (80 km/h, 49.7 mph) (maximum)",2 hr 30 min (max) 2 hr (typical) 2 hr 30 min (max) 2 hr (typical),,,,,,352 mm (1 ft 1 3/4 in) 352 mm (1 ft 1 3/4 in),,,,1.135 m (3 ft 8 3/4 in) 1.135 m (3 ft 8 3/4 in) 1.135 m (3 ft 8 3/4 in) 1.135 m (3 ft 8 3/4 in),,6 kg (13 lb) 6 kg (13 lb),,,,"64.8 kt (120 km/h, 74.6 mph) 64.8 kt (120 km/h, 74.6 mph) 64.8 kt (120 km/h, 74.6 mph) 64.8 kt (120 km/h, 74.6 mph)",,,,"1,500 m (4,920 ft) (Max) 1,500 m (4,920 ft) (Max)",,,,"180 km (97.2 nm, 112 mi) 180 km (97.2 nm, 112 mi) 180 km (97.2 nm, 112 mi) 180 km (97.2 nm, 112 mi)","15 km (8.1 nm, 9.32 mi) (LOS; stable video, digital link) 15 km (8.1 nm, 9.32 mi) (LOS; stable video, digital link) 30 km (16.2 nm, 18.6 mi) (radio link, typical) 30 km (16.2 nm, 18.6 mi) (radio link, typical) 40 km (21.6 nm, 24.9 mi) (LOS; stable video, analogue link) 40 km (21.6 nm, 24.9 mi) (LOS; stable video, analogue link) 45 km (24.3 nm, 28 mi) (LOS; two-way digital telemetry data channel with encryption) 45 km (24.3 nm, 28 mi) (LOS; two-way digital telemetry data channel with encryption) 50 km (27 nm, 31.1 mi) (radio link, maximum) 50 km (27 nm, 31.1 mi) (radio link, maximum) 15 km (8.1 nm, 9.32 mi) (LOS; stable video, digital link) 15 km (8.1 nm, 9.32 mi) (LOS; stable video, digital link) 30 km (16.2 nm, 18.6 mi) (radio link, typical) 30 km (16.2 nm, 18.6 mi) (radio link, typical) 40 km (21.6 nm, 24.9 mi) (LOS; stable video, analogue link) 40 km (21.6 nm, 24.9 mi) (LOS; stable video, analogue link) 45 km (24.3 nm, 28 mi) (LOS; two-way digital telemetry data channel with encryption) 45 km (24.3 nm, 28 mi) (LOS; two-way digital telemetry data channel with encryption) 50 km (27 nm, 31.1 mi) (radio link, maximum) 50 km (27 nm, 31.1 mi) (radio link, maximum)",,,,,,,,,,,,,1.98 m (6 ft 6 in) 1.98 m (6 ft 6 in) 1.98 m (6 ft 6 in) 1.98 m (6 ft 6 in),
MUAS,,,,"24.3 kt (45 km/h, 28 mph) 24.3 kt (45 km/h, 28 mph) 24.3 kt (45 km/h, 28 mph) (MUAS-1) 24.3 kt (45 km/h, 28 mph) (MUAS-1) 24.3 kt (45 km/h, 28 mph) (MUAS-2) 24.3 kt (45 km/h, 28 mph) (MUAS-2)",0 hr 30 min (MUAS-1) 2 hr 2 hr 0 min (MUAS-2),,,,,,,,,,1.3 m (4 ft 3 1/4 in) 1.3 m (4 ft 3 1/4 in) 1.32 m (4 ft 4 in) (MUAS-1) 1.32 m (4 ft 4 in) (MUAS-1) 1.32 m (4 ft 4 in) (MUAS-2) 1.32 m (4 ft 4 in) (MUAS-2),,4.50 kg (9 lb 14 3/4 oz) (MUAS-1) 8 kg (18 lb) (estimated) 8.00 kg (18 lb) (maximum value; MUAS-2),,,,"59.4 kt (110 km/h, 68.4 mph) (MUAS-1) 59.4 kt (110 km/h, 68.4 mph) (MUAS-1) 70.2 kt (130 km/h, 80.8 mph) 70.2 kt (130 km/h, 80.8 mph) 70.2 kt (130 km/h, 80.8 mph) (MUAS-2) 70.2 kt (130 km/h, 80.8 mph) (MUAS-2)",,1.2 kg (2 lb 10 1/4 oz),,,,,,,"5 km (2.7 nm, 3.1 mi) (MUAS-1) 5 km (2.7 nm, 3.1 mi) (MUAS-1) 15 km (8.1 nm, 9.32 mi) 15 km (8.1 nm, 9.32 mi) 15 km (8.1 nm, 9.32 mi) (MUAS-2) 15 km (8.1 nm, 9.32 mi) (MUAS-2)",,"5,000 m (16,405 ft) (absolute)",,,,,,,,,,,1.80 m (5 ft 10 3/4 in) (MUAS-1) 1.80 m (5 ft 10 3/4 in) (MUAS-1) 3.0 m (9 ft 10 in) 3.0 m (9 ft 10 in) 3.00 m (9 ft 10 in) (MUAS-2) 3.00 m (9 ft 10 in) (MUAS-2),
Manta,,,,"39 kt (72.2 km/h, 44.9 mph) (typical, nominal mission take-off weight) 90 kt (167 km/h, 104 mph) (maximum, nominal mission take-off weight) 90 kt (167 km/h, 104 mph) (maximum, nominal mission take-off weight)","6 hr (minimum, nominal value)",,,,,,620 mm (2 ft 1/2 in) 620 mm (2 ft 1/2 in),,,,1.90 m (6 ft 2 3/4 in) 1.90 m (6 ft 2 3/4 in),,27 kg (60 lb) (minimum),,,,"110 kt (204 km/h, 127 mph) 110 kt (204 km/h, 127 mph)",,6.8 kg (15 lb) (maximum),,,,,,"27.7 km (15 nm, 17.2 mi) (LOS; typical,  mission) 27.7 km (15 nm, 17.2 mi) (LOS; typical,  mission) 37 km (20 nm, 23 mi) (LOS; maximum,  mision) 37 km (20 nm, 23 mi) (LOS; maximum,  mision)",,,"4,875 m (16,000 ft)","35 kt (64.9 km/h, 40.3 mph)",,,,13 l (0.46 cu ft),,,,,,2.67 m (8 ft 9 in) 2.67 m (8 ft 9 in),
Micro Falcon LE,,,,"35 kt (64.8 km/h, 40.3 mph) 35 kt (64.8 km/h, 40.3 mph) 35 kt (64.8 km/h, 40.3 mph) 35 kt (64.8 km/h, 40.3 mph)",4 hr (at 35 kt (65 km/h; 40 mph); MicroFalcon LE) 4 hr (at 35 kt (65 km/h; 40 mph); MicroFalcon LE),,,,,,,,,,,,10 kg (22 lb) 10 kg (22 lb),,,,"65 kt (120 km/h, 74.8 mph) 65 kt (120 km/h, 74.8 mph) 65 kt (120 km/h, 74.8 mph) 65 kt (120 km/h, 74.8 mph)",,2 kg (4 lb 6 1/2 oz) 2 kg (4 lb 6 1/2 oz),,,,,,,"40 km (21.6 nm, 24.8 mi) (maximum) 40 km (21.6 nm, 24.8 mi) (maximum) 40 km (21.6 nm, 24.8 mi) (maximum) 40 km (21.6 nm, 24.8 mi) (maximum)",,"4,570 m (15,000 ft) 4,570 m (15,000 ft)",,,,,,,,,,,2.0 m (6 ft 6 3/4 in) 2.0 m (6 ft 6 3/4 in) 2.0 m (6 ft 6 3/4 in) 2.0 m (6 ft 6 3/4 in),
Micro Falcon LP,,,,"35 kt (64.8 km/h, 40.3 mph) 35 kt (64.8 km/h, 40.3 mph) 35 kt (64.8 km/h, 40.3 mph) 35 kt (64.8 km/h, 40.3 mph)",2 hr (at 35 kt (65 km/h; 40 mph)) 2 hr (at 35 kt (65 km/h; 40 mph)),,,,,,,,,,,,6 kg (13 lb) 6 kg (13 lb),,,,"65 kt (120 km/h, 74.8 mph) 65 kt (120 km/h, 74.8 mph) 65 kt (120 km/h, 74.8 mph) 65 kt (120 km/h, 74.8 mph)",,2 kg (4 lb 6 1/2 oz) 2 kg (4 lb 6 1/2 oz),,,,,,,"40 km (21.6 nm, 24.8 mi) (maximum) 40 km (21.6 nm, 24.8 mi) (maximum) 40 km (21.6 nm, 24.8 mi) (maximum) 40 km (21.6 nm, 24.8 mi) (maximum)",,"4,570 m (15,000 ft) 4,570 m (15,000 ft)",,,,,,,,,,,1.8 m (5 ft 10 3/4 in) 1.8 m (5 ft 10 3/4 in) 1.8 m (5 ft 10 3/4 in) 1.8 m (5 ft 10 3/4 in),
Nimble Loong,,,,"81 kt (150 km/h, 93.2 mph) 81 kt (150 km/h, 93.2 mph)",4 hr (petrol/gasoline engine) 8 hr (heavy fuel engine),,,,,,,,,,,,30 kg (66 lb),,,,,,3 kg (6 lb 9 3/4 oz),,,,,,,,,"3,000 m (9,845 ft)",,,,,,,,,,,3 m (9 ft 10 in) 3 m (9 ft 10 in),
Nova F6500,,,,"30.4 kt (56.3 km/h, 35 mph) 30.4 kt (56.3 km/h, 35 mph)",1 hr 30 min,,,,,,,,,,1.70 m (5 ft 7 in) 1.70 m (5 ft 7 in),,6.8 kg (15 lb),,,,"60.8 kt (113 km/h, 70 mph) 60.8 kt (113 km/h, 70 mph)",,,,,,,,,"80.4 km (43.4 nm, 50 mi) (linear) 80.4 km (43.4 nm, 50 mi) (linear)",,"3,050 m (10,000 ft) (mean sea level) 122 m (400 ft) (above ground level)",,,,,,,,,,,2.74 m (8 ft 11 3/4 in) 2.74 m (8 ft 11 3/4 in),
Orbiter 1,,,,,,,,,,,,,,,1.0 m (3 ft 3 1/4 in) 1.0 m (3 ft 3 1/4 in) 1.2 m (3 ft 11 1/4 in) (estimated; Orbiter 3) 1.2 m (3 ft 11 1/4 in) (estimated; Orbiter 3),,10.3 kg (23 lb) (Orbiter 2) 30.0 kg (66 lb) (Orbiter 3),,,,"70 kt (130 km/h, 80.6 mph) (Orbiter 2) 70 kt (130 km/h, 80.6 mph) (Orbiter 2) 70 kt (130 km/h, 80.6 mph) (Orbiter 3) 70 kt (130 km/h, 80.6 mph) (Orbiter 3)",,1.5 kg (3 lb 5 oz) (Orbiter 2) 5.5 kg (12 lb) (Orbiter 3),,,,,,,"100 km (54 nm, 62.1 mi) (datalink; Orbiter 2) 100 km (54 nm, 62.1 mi) (datalink; Orbiter 2) 150 km (80.9 nm, 93.2 mi) (datalink; Orbiter 3) 150 km (80.9 nm, 93.2 mi) (datalink; Orbiter 3)",,"5,485 m (18,000 ft) (estimated; Orbiter 3)",,,,,,,,,,,2.2 m (7 ft 2 1/2 in) 2.2 m (7 ft 2 1/2 in) 3.0 m (9 ft 10 in) (Orbiter 2) 3.0 m (9 ft 10 in) (Orbiter 2) 4.4 m (14 ft 5 1/4 in) (Orbiter 3) 4.4 m (14 ft 5 1/4 in) (Orbiter 3),
Orbiter 1K,,,,,,,,,,,,,,,1.2 m (3 ft 11 1/4 in) (estimated; Orbiter 3),,10.3 kg (23 lb) (Orbiter 2) 30.0 kg (66 lb) (Orbiter 3),,,,,,2.0 kg (4 lb 6 1/2 oz) (warhead) 5.5 kg (12 lb) (Orbiter 3),,,,,,,"100 km (54 nm, 62.1 mi) (datalink; Orbiter 2) 100 km (54 nm, 62.1 mi) (datalink; Orbiter 2) 150 km (80.9 nm, 93.2 mi) (datalink; Orbiter 3) 150 km (80.9 nm, 93.2 mi) (datalink; Orbiter 3)",,,,,,,,,,,,,3.0 m (9 ft 10 in) 3.0 m (9 ft 10 in),
Orbiter 2,,,,,,,,,,,,,,,900 mm (2 ft 11 1/2 in) 900 mm (2 ft 11 1/2 in),,13 kg (29 lb),,,,"50 kt (92.6 km/h, 57.5 mph) 50 kt (92.6 km/h, 57.5 mph)",,1.8 kg (3 lb 15 1/2 oz),,,,,,,"100 km (54 nm, 62.1 mi) (datalink) 100 km (54 nm, 62.1 mi) (datalink)",,,,,,,,,,,,,3.0 m (9 ft 10 in) 3.0 m (9 ft 10 in),
Orbiter 2B,,,,,,,,,,,,,,,900 mm (2 ft 11 1/2 in) 900 mm (2 ft 11 1/2 in),,13 kg (29 lb),,,,"50 kt (92.6 km/h, 57.5 mph) 50 kt (92.6 km/h, 57.5 mph)",,1.8 kg (3 lb 15 1/2 oz),,,,,,,"100 km (54 nm, 62.1 mi) (Datalink) 100 km (54 nm, 62.1 mi) (Datalink)",,,,,,,,,,,,,3.0 m (9 ft 10 in) 3.0 m (9 ft 10 in),
Orbiter 4,,,,,,,,,,,,,,,1.2 m (3 ft 11 1/4 in) (estimated; Orbiter 3) 1.2 m (3 ft 11 1/4 in) (estimated; Orbiter 3),,10.3 kg (23 lb) (Orbiter 2) 30.0 kg (66 lb) (Orbiter 3) 50.0 kg (110 lb),,,,"70 kt (130 km/h, 80.6 mph) 70 kt (130 km/h, 80.6 mph)",,5.5 kg (12 lb) (Orbiter 3) 12.0 kg (26 lb),,,,,,,"100 km (54 nm, 62.1 mi) (datalink; Orbiter 2) 100 km (54 nm, 62.1 mi) (datalink; Orbiter 2) 150 km (80.9 nm, 93.2 mi) (datalink; Orbiter 3) 150 km (80.9 nm, 93.2 mi) (datalink; Orbiter 3) 250 km (135 nm, 155 mi) (LOS; control link) 250 km (135 nm, 155 mi) (LOS; control link)",,"5,485 m (18,000 ft) (estimated)",,,,,,,,,,,5.0 m (16 ft 4 3/4 in) 5.0 m (16 ft 4 3/4 in),
Orlan-10,,,,"48.6 kt (90 km/h, 55.9 mph) 48.6 kt (90 km/h, 55.9 mph)",10 hr 10 hr 0 min (Orlan 10E) 14 hr (Orlan 10M),,,,,,,,,,1.8 m (5 ft 10 3/4 in) 1.8 m (5 ft 10 3/4 in),,"14 kg (31 lb) 18 kg (40 lb) (Jane's figure, Orlan 10M, Orlan 10E) 18 kg (40 lb) (Jane's figure; Orlan 10E) 18 kg (40 lb) (Jane's figure; Orlan 10M)",,,,"81 kt (150 km/h, 93.2 mph) 81 kt (150 km/h, 93.2 mph)",,"2.5 kg (5 lb 8 1/4 oz) 3 kg (6 lb 9 3/4 oz) (Orlan 10E) 3 kg (6 lb 9 3/4 oz) (Orlan 10M, Orlan 10E) 3 kg (6 lb 9 3/4 oz) (Orlan 10M)",,,,,,"98.2 km (53 nm, 61 mi) 98.2 km (53 nm, 61 mi) 150 km (81 nm, 93.2 mi) (Orlan 10E) 150 km (81 nm, 93.2 mi) (Orlan 10E)",,,"5,000 m (16,405 ft) 5,000 m (16,405 ft) (Orlan 10E) 6,000 m (19,685 ft) (Orlan 10M)",,,,,,,,,,,3.1 m (10 ft 2 in) 3.1 m (10 ft 2 in),
Orlan-10E,,,,,10 hr 0 min,,,,,,,,,,,,18 kg (40 lb),,,,"81 kt (150 km/h, 93.2 mph) 81 kt (150 km/h, 93.2 mph)",,3 kg (6 lb 9 3/4 oz),,"5,000 m (16,405 ft)",,,,"150 km (81 nm, 93.2 mi) 150 km (81 nm, 93.2 mi)","100 km (54 nm, 62.1 mi) (Radio control) 100 km (54 nm, 62.1 mi) (Radio control)",,,,,,,,,,,,,,
P550,,,,,5 hr 0 min,,,,,,600 mm (1 ft 11 1/2 in),,,,2.8 m (9 ft 2 1/4 in) (assembled) 600 mm (1 ft 11 1/2 in) (packed),,24.9 kg (55 lb),,,,"52 kt (96.3 km/h, 59.8 mph)",,6.8 kg (15 lb),,,,,,,"40 km (21.6 nm, 24.9 mi) (standard) 60 km (32.4 nm, 37.3 mi) (with DDL depending on GCS radio)",,"4,267 m (14,000 ft)",,,,,,,,,,,1.8 m (5 ft 10 3/4 in) (packed) 5 m (16 ft 4 3/4 in) (assembled),
Penguin B,,,,"42.8 kt (79.3 km/h, 49.3 mph) 42.8 kt (79.3 km/h, 49.3 mph)","20 hr (typical, 7.5 litres fuel load) 26 hr 30 min ([4 kg (8.8 lb) payload])",,0.79 m² (8.5 sq ft),163 mm (6 1/2 in),,,900 mm (2 ft 11 1/2 in) 900 mm (2 ft 11 1/2 in),,,,2.27 m (7 ft 5 1/4 in) 2.27 m (7 ft 5 1/4 in),,21.5 kg (47 lb),,,,"70 kt (130 km/h, 80.6 mph) 70 kt (130 km/h, 80.6 mph)",,10 kg (22 lb),,,,11.5 kg (25 lb),,,,,"5,000 m (16,400 ft)","25.3 kt (46.9 km/h, 29.1 mph) 25.3 kt (46.9 km/h, 29.1 mph) (with high-lift system)",30 m (98.4 ft),,,,11.5 kg (25 lb),,290 mm (11 1/2 in),,,3.3 m (10 ft 10 in) 3.3 m (10 ft 10 in),
Penguin B VTOL,,,,"48.5 kt (89.8 km/h, 55.8 mph) 48.5 kt (89.8 km/h, 55.8 mph)",8 hr,,1.02 m² (11 sq ft),,,,840 mm (2 ft 9 in) 840 mm (2 ft 9 in),,,,2.43 m (7 ft 11 3/4 in) 2.43 m (7 ft 11 3/4 in),,30 kg (66 lb),,,,,,7.2 kg (16 lb),,,,11.7 kg (26 lb),,,,,"4,000 m (13,123 ft)",,,,,,17.2 kg (38 lb),,,,,3.9 m (12 ft 9 1/2 in) 3.9 m (12 ft 9 1/2 in),
Penguin BE Electric,,,,"42.8 kt (79.2 km/h, 49.2 mph) 42.8 kt (79.2 km/h, 49.2 mph)",1 hr 50 min (2.8 kg (6.2 lb) payload),,0.79 m² (8.5 sq ft),,,,900 mm (2 ft 11 1/2 in) 900 mm (2 ft 11 1/2 in),,,,2.27 m (7 ft 5 1/4 in) 2.27 m (7 ft 5 1/4 in),,21.5 kg (47 lb),,,,"70 kt (130 km/h, 80.6 mph) 70 kt (130 km/h, 80.6 mph)",,6.6 kg (15 lb),,,,,,,,,"6,000 m (19,685 ft)","25.27 kt (46.8 km/h, 29.1 mph) (with high lift systems)",30 m (98.4 ft),,,,14.9 kg (33 lb),,,,,3.3 m (10 ft 10 in) 3.3 m (10 ft 10 in),
Penguin C,,,,"43 kt (79.6 km/h, 49.5 mph) 43 kt (79.6 km/h, 49.5 mph)","20 hr (typical, 3.5 kg (7.7 lb) payload)",,,,,200 mm (7 3/4 in),900 mm (2 ft 11 1/2 in) 900 mm (2 ft 11 1/2 in),,,,2.3 m (7 ft 6 1/2 in) 2.3 m (7 ft 6 1/2 in),,23 kg (50.7 lb),,,,"62 kt (115 km/h, 71.3 mph) (maximum) 62 kt (115 km/h, 71.3 mph) (maximum)",,3.2 kg (7 lb),,,,,,,"100 km (54 nm, 62.1 mi) 100 km (54 nm, 62.1 mi)",,"5,000 m (16,405 ft)",,,,,,10 kg (22 lb),,290 mm (11 1/2 in),,,3. m (9 ft 10 in) 3. m (9 ft 10 in),
Penguin C Mk2,,,,"40 kt (74.1 km/h, 46 mph) 40 kt (74.1 km/h, 46 mph)",25 hr 0 min,,,,,200 mm (7 3/4 in),900 mm (2 ft 11 1/2 in) 900 mm (2 ft 11 1/2 in),,,,2.3 m (7 ft 6 1/2 in) 2.3 m (7 ft 6 1/2 in),,25 kg (55 lb),,,,"60 kt (111 km/h, 69 mph) 60 kt (111 km/h, 69 mph)",,,,,,,,,"180 km (97 nm, 112 mi) 180 km (97 nm, 112 mi)",,"4,000 m (13,125 ft)",,,,,,10 kg (22 lb),,290 mm (11 1/2 in),,,3.3 m (10 ft 10 in),
Phoenix FW120,,,,,1 hr 30 min (typical) 2 hr,,,,,,,,,,230 mm (9 in) 230 mm (9 in),,9.5 kg (21 lb),,,,,,1.13 kg (2 lb 7 3/4 oz),,"15.2 m (50 ft) (min; typical , above ground level) 152 m (500 ft) (max; typical , above ground level)",,,,,"4.82 km (2.6 nm, 3 mi) (LOS; minimum, link dependent) 4.82 km (2.6 nm, 3 mi) (LOS; minimum, link dependent) 32.1 km (17.3 nm, 20 mi) (LOS; maximum, link dependent) 32.1 km (17.3 nm, 20 mi) (LOS; maximum, link dependent)",,,,,,,,,,,,,3.8 m (12 ft 5 1/2 in) 3.8 m (12 ft 5 1/2 in),
Pigeon VTOL,,,,"54 kt (100 km/h, 62.1 mph) 54 kt (100 km/h, 62.1 mph)",2 hr/min,,,,,,,,,,1.15 m (3 ft 9 1/4 in) 1.15 m (3 ft 9 1/4 in),,11.0 kg (24 lb),,,,"62.1 kt (115 km/h, 71.5 mph) 62.1 kt (115 km/h, 71.5 mph)",,1.5 kg (3 lb 5 oz) (not including battery pack),,,,,,,"150 km (81 nm, 93.2 mi) (typical mission) 150 km (81 nm, 93.2 mi) (typical mission)",,,,,,,,,,,,,1.90 m (6 ft 2 3/4 in) 1.90 m (6 ft 2 3/4 in),
Puma AE,,,,"20 kt (37 km/h, 23 mph) 25 kt (46.3 km/h, 28.8 mph) (Puma II AE) 25 kt (46.3 km/h, 28.8 mph) (Puma II AE)","2 hr 3 hr (typical, LE battery)",,,,,,,,,,1.4 m (4 ft 7 in) 1.4 m (4 ft 7 in) 1.4 m (4 ft 7 in) (Puma II AE) 1.4 m (4 ft 7 in) (Puma II AE),,5.9 kg (13 lb),,,6.3 kg (14 lb) (Puma II AE),"45 kt (83.3 km/h, 51.8 mph) (Puma II AE) 45 kt (83.3 km/h, 51.8 mph) (Puma II AE)","40 kt (74 km/h, 46 mph)",,,152 m (500 ft) 152 m (500 ft) (Puma II AE),,,,,"15 km (8.1 nm, 9.32 mi) 15 km (8.1 nm, 9.32 mi) 20 km (10.8 nm, 12.4 mi) (Puma II AE) 20 km (10.8 nm, 12.4 mi) (Puma II AE)",,"3,200 m (10,500 ft) (est)",,,,,,,,,,,2.8 m (9 ft 2 1/4 in) 2.8 m (9 ft 2 1/4 in) 2.8 m (9 ft 2 1/4 in) (Puma II AE) 2.8 m (9 ft 2 1/4 in) (Puma II AE),
Punisher,,,,"43 kt (79.6 km/h, 49.5 mph) (est) 43 kt (79.6 km/h, 49.5 mph) (est)",1 hr 30 min,,,,,,,,,,,,15 kg (33 lb),,,,,,2 kg (4 lb 6 1/2 oz),"108 kt (200 km/h, 124 mph) (est)","400 m (1,310 ft)",,,,,"44.4 km (24 nm, 27.6 mi) 44.4 km (24 nm, 27.6 mi)",,,,,,,,,,,,,2.28 m (7 ft 5 3/4 in) 2.28 m (7 ft 5 3/4 in),
RAM,,,,"37.8 kt (70 km/h, 43.5 mph)",0 hr 30 min (40 kg warhead) 1 hr 0 min (2.5 kg warhead) 2 hr 30 min (reconnaissance),,,,,,,,,,1.78 m (5 ft 10 in) 1.78 m (5 ft 10 in),,8 kg (18 lb),,,,"81 kt (150 km/h, 93.2 mph) 81 kt (150 km/h, 93.2 mph)",,4 kg (8 lb 13 oz),,,,,,,"30 km (16.2 nm, 18.6 mi) 30 km (16.2 nm, 18.6 mi)",,,,,,,,,,,,,2.3 m (7 ft 6 1/2 in) 2.3 m (7 ft 6 1/2 in),
Ranger,,,,"27 kt (50 km/h, 31.1 mph) 27 kt (50 km/h, 31.1 mph)",1 hr 30 min (with 1 kg payload weight) 6 hr 0 min (using an 'additional' battery pack),,0.7 m² (7.53 sq ft),,,,300 mm (11 3/4 in),,,,1.39 m (4 ft 6 3/4 in) 1.39 m (4 ft 6 3/4 in),,7.0 kg (15 lb),,,,,"64.2  kt (119 km/h, 73.9 mph)",2.8 kg (6 lb 2 3/4 oz),,,,,,,"400 km (216 nm, 249 mi) 400 km (216 nm, 249 mi)",,"3,000 m (9,845 ft)","22  kt (40.7 km/h, 25.3 mph)",,,,,,,,,,3.00 m (9 ft 10 in) 3.00 m (9 ft 10 in),
Ranger VTOL,,,,"44.7  kt (82.8 km/h, 51.4 mph) 44.7  kt (82.8 km/h, 51.4 mph)",1 hr 30 min (with 1 kg payload weight),,0.7 m² (7.53 sq ft),,,,300 mm (11 3/4 in) 300 mm (11 3/4 in),,,1.39 m (4 ft 6 3/4 in),1.63 m (5 ft 4 1/4 in) 1.63 m (5 ft 4 1/4 in),,14.0 kg (31 lb),,,,,"64.2  kt (119 km/h, 73.9 mph)",1 kg (2 lb 3 1/4 oz) 4.0 kg (8 lb 13 oz) (including battery pack),,,,,,,"400 km (216 nm, 249 mi) 400 km (216 nm, 249 mi)",,"4,000 m (13,125 ft)","33  kt (61.1 km/h, 38 mph)",,,,,,,,,,3.00 m (9 ft 10 in) 3.00 m (9 ft 10 in),
